cups,pc1,pc2,pc3,TPTotal
ES0032000002955582LS,1720.0,3540.0,1060.0,46769.542
ES0032000002934613GE,1000.0,1000.0,1000.0,3060.0
ES0032000002934612GK,1000.0,1000.0,1000.0,3095.0
ES0032000002934610GL,1000.0,1000.0,1000.0,3060.0
ES0032000002918089EN,1700.0,1600.0,2120.0,13435.391999999996
ES0032000002918163WV,1000.0,1000.0,1000.0,3060.0
ES0032000002918234ML,-1.0,-1.0,-1.0,-4.6036
ES0032000002957735KY,-1.0,-1.0,-1.0,-113.3836
ES0032000002957736KF,1040.0,1180.0,1340.0,21458.766000000003
ES0032000002938856MX,-1.0,-1.0,-1.0,-8.383600000000001
ES0032000002938863MV,1080.0,10360.0,11180.0,335325.76
ES0032000002938835GN,1000.0,1000.0,1000.0,2805.0
ES0032000002938851MM,-1.0,-1.0,-1.0,-3.4836
ES0032000002938816AQ,-1.0,-1.0,-1.0,-0.0035999999999999995
ES0032000002938817AV,-1.0,-1.0,-1.0,-23.2836
ES0032000002938129LL,1000.0,1080.0,1060.0,37193.46200000001
ES0032000002958629ZA,1000.0,1000.0,1000.0,3075.0
ES0032000002948031JP,1000.0,1000.0,1000.0,3155.0
ES0032000002938089HW,-1.0,-1.0,-1.0,-15.763600000000002
ES0032000002938087HT,-1.0,-1.0,-1.0,-98.1636
ES0032000002939548NN,5180.0,1020.0,5060.0,142292.37600000002
ES0032000002938472BV,1180.0,1920.0,1060.0,9070.654
ES0032000002942710NT,-1.0,-1.0,-1.0,-9.1636
ES0032000002938550SA,1000.0,1820.0,1000.0,12514.353999999998
ES0032000002938704KL,1420.0,1140.0,1000.0,6969.244000000001
ES0032000002952803JL,1000.0,5240.0,1000.0,49977.176
ES0032000002948143HM,1000.0,1000.0,1000.0,3060.0
ES0032000002952214BM,1080.0,6360.0,1420.0,90399.74399999999
ES0032000002939579JC,-1.0,-1.0,-1.0,-11.223600000000003
ES0032000002939612SF,-1.0,-1.0,-1.0,-7.8435999999999995
ES0032000002940014DH,-1.0,-1.0,-1.0,-0.0032999999999999995
ES0032000002940016DC,1000.0,1000.0,1000.0,2805.0
ES0032000002940010DZ,1000.0,1000.0,1000.0,2805.0
ES0032000002940009DJ,1000.0,1000.0,1000.0,2805.0
ES0032000002940006DX,1000.0,1000.0,1000.0,2805.0
ES0032000002940029XX,1000.0,1000.0,1000.0,2805.0
ES0032000002940030XB,1000.0,1000.0,1000.0,2805.0
ES0032000002940031XN,1000.0,1000.0,1000.0,2805.0
ES0032000002940033XZ,1000.0,1000.0,1000.0,2805.0
ES0032000002940028XD,1000.0,1000.0,1000.0,2805.0
ES0032000002940027XP,1000.0,1000.0,1000.0,2805.0
ES0032000002940047BM,1000.0,1000.0,1000.0,2805.0
ES0032000002940048BY,1000.0,1000.0,1000.0,2805.0
ES0032000002940049BF,1000.0,1000.0,1000.0,2805.0
ES0032000002940050BP,1000.0,1000.0,1000.0,2805.0
ES0032000002940052BX,1000.0,1000.0,1000.0,2805.0
ES0032000002940054BN,1000.0,1000.0,1000.0,2805.0
ES0032000002940046BG,1000.0,1000.0,1000.0,2805.0
ES0032000002936072ED,1000.0,2580.0,1900.0,18560.096000000005
ES0032000002940095JF,1000.0,1000.0,1000.0,2805.0
